loss: 0.4404, acc: 0.8006, test_acc: 0.7741, test_f1: 0.7125
loss: 0.5753, acc: 0.8009, test_acc: 0.7820, test_f1: 0.7255
loss: 0.5559, acc: 0.7997, test_acc: 0.7741, test_f1: 0.7255
loss: 0.5468, acc: 0.7979, test_acc: 0.7630, test_f1: 0.7061
loss: 0.5591, acc: 0.7948, test_acc: 0.7536, test_f1: 0.6730
loss: 0.4851, acc: 0.7945, test_acc: 0.7630, test_f1: 0.6896
loss: 0.5456, acc: 0.7923, test_acc: 0.7883, test_f1: 0.7442
loss: 0.5074, acc: 0.7921, test_acc: 0.7899, test_f1: 0.7469
loss: 0.5911, acc: 0.7919, test_acc: 0.7583, test_f1: 0.6940
loss: 0.5724, acc: 0.7929, test_acc: 0.7378, test_f1: 0.6557
loss: 0.4955, acc: 0.7939, test_acc: 0.7583, test_f1: 0.6843
loss: 0.4379, acc: 0.7930, test_acc: 0.7820, test_f1: 0.7218
loss: 0.5023, acc: 0.7922, test_acc: 0.7820, test_f1: 0.7297
loss: 0.4168, acc: 0.7932, test_acc: 0.7520, test_f1: 0.6844
loss: 0.4740, acc: 0.7935, test_acc: 0.7583, test_f1: 0.6852
loss: 0.4424, acc: 0.7944, test_acc: 0.7583, test_f1: 0.6664
loss: 0.5343, acc: 0.7936, test_acc: 0.7504, test_f1: 0.6493
loss: 0.3655, acc: 0.7940, test_acc: 0.7488, test_f1: 0.6739
loss: 0.4427, acc: 0.7937, test_acc: 0.7583, test_f1: 0.6941
loss: 0.4690, acc: 0.7930, test_acc: 0.7551, test_f1: 0.6907
loss: 0.4927, acc: 0.7918, test_acc: 0.7646, test_f1: 0.6987
loss: 0.5555, acc: 0.7912, test_acc: 0.7757, test_f1: 0.7152
loss: 0.5127, acc: 0.7925, test_acc: 0.7630, test_f1: 0.6949
loss: 0.4045, acc: 0.7923, test_acc: 0.7551, test_f1: 0.6908
loss: 0.4217, acc: 0.7936, test_acc: 0.7630, test_f1: 0.7034
loss: 0.4165, acc: 0.7938, test_acc: 0.7583, test_f1: 0.6942
loss: 0.3933, acc: 0.7937, test_acc: 0.7520, test_f1: 0.6834
loss: 0.4869, acc: 0.7921, test_acc: 0.7551, test_f1: 0.6911
loss: 0.3270, acc: 0.7920, test_acc: 0.7536, test_f1: 0.6874
loss: 0.4644, acc: 0.7923, test_acc: 0.7520, test_f1: 0.6821
loss: 0.5131, acc: 0.7921, test_acc: 0.7393, test_f1: 0.6571
loss: 0.4428, acc: 0.7928, test_acc: 0.7520, test_f1: 0.6794
loss: 0.3653, acc: 0.7935, test_acc: 0.7662, test_f1: 0.7039
loss: 0.4312, acc: 0.7933, test_acc: 0.7757, test_f1: 0.7204
loss: 0.3605, acc: 0.7948, test_acc: 0.7678, test_f1: 0.7065
loss: 0.5676, acc: 0.7930, test_acc: 0.7567, test_f1: 0.6842
loss: 0.3591, acc: 0.7937, test_acc: 0.7488, test_f1: 0.6727
loss: 0.3006, acc: 0.7951, test_acc: 0.7646, test_f1: 0.7018
loss: 0.3867, acc: 0.7953, test_acc: 0.7741, test_f1: 0.7136
loss: 0.5649, acc: 0.7948, test_acc: 0.7725, test_f1: 0.7009
loss: 0.4437, acc: 0.7946, test_acc: 0.7567, test_f1: 0.6799
loss: 0.2509, acc: 0.7959, test_acc: 0.7520, test_f1: 0.6697
loss: 0.3039, acc: 0.7969, test_acc: 0.7709, test_f1: 0.7035
loss: 0.2909, acc: 0.7974, test_acc: 0.7852, test_f1: 0.7313
loss: 0.4765, acc: 0.7976, test_acc: 0.7804, test_f1: 0.7279
loss: 0.4250, acc: 0.7981, test_acc: 0.7757, test_f1: 0.7211
loss: 0.3597, acc: 0.7983, test_acc: 0.7694, test_f1: 0.7093
loss: 0.3824, acc: 0.9062, test_acc: 0.7820, test_f1: 0.7304
loss: 0.2577, acc: 0.8594, test_acc: 0.7773, test_f1: 0.7195
loss: 0.3158, acc: 0.8750, test_acc: 0.7788, test_f1: 0.7234
loss: 0.3462, acc: 0.8672, test_acc: 0.7741, test_f1: 0.7156
loss: 0.3342, acc: 0.8812, test_acc: 0.7725, test_f1: 0.7102
loss: 0.4395, acc: 0.8906, test_acc: 0.7757, test_f1: 0.7163
loss: 0.3694, acc: 0.8705, test_acc: 0.7836, test_f1: 0.7336
loss: 0.3895, acc: 0.8594, test_acc: 0.7867, test_f1: 0.7384
loss: 0.4490, acc: 0.8438, test_acc: 0.7867, test_f1: 0.7365
loss: 0.3494, acc: 0.8375, test_acc: 0.7820, test_f1: 0.7213
loss: 0.4206, acc: 0.8267, test_acc: 0.7662, test_f1: 0.6958
loss: 0.4067, acc: 0.8307, test_acc: 0.7662, test_f1: 0.6965
loss: 0.3785, acc: 0.8365, test_acc: 0.7709, test_f1: 0.7019
loss: 0.4094, acc: 0.8371, test_acc: 0.7788, test_f1: 0.7154
loss: 0.4678, acc: 0.8375, test_acc: 0.7883, test_f1: 0.7391
loss: 0.3027, acc: 0.8379, test_acc: 0.8025, test_f1: 0.7608
loss: 0.2915, acc: 0.8382, test_acc: 0.8009, test_f1: 0.7595
loss: 0.4411, acc: 0.8316, test_acc: 0.7867, test_f1: 0.7353
loss: 0.2415, acc: 0.8339, test_acc: 0.7646, test_f1: 0.6940
loss: 0.3587, acc: 0.8313, test_acc: 0.7694, test_f1: 0.7070
loss: 0.4245, acc: 0.8274, test_acc: 0.7930, test_f1: 0.7470
loss: 0.4508, acc: 0.8281, test_acc: 0.7804, test_f1: 0.7260
loss: 0.3827, acc: 0.8247, test_acc: 0.7867, test_f1: 0.7295
loss: 0.2530, acc: 0.8307, test_acc: 0.7836, test_f1: 0.7269
loss: 0.2924, acc: 0.8325, test_acc: 0.7741, test_f1: 0.7138
loss: 0.3159, acc: 0.8317, test_acc: 0.7646, test_f1: 0.7022
loss: 0.5790, acc: 0.8264, test_acc: 0.7725, test_f1: 0.7082
loss: 0.3605, acc: 0.8292, test_acc: 0.7836, test_f1: 0.7220
loss: 0.2766, acc: 0.8308, test_acc: 0.8009, test_f1: 0.7565
loss: 0.2114, acc: 0.8323, test_acc: 0.7946, test_f1: 0.7521
loss: 0.3153, acc: 0.8347, test_acc: 0.7788, test_f1: 0.7250
loss: 0.4064, acc: 0.8359, test_acc: 0.7773, test_f1: 0.7115
loss: 0.2947, acc: 0.8371, test_acc: 0.7915, test_f1: 0.7385
loss: 0.3034, acc: 0.8364, test_acc: 0.7867, test_f1: 0.7346
loss: 0.3061, acc: 0.8375, test_acc: 0.7867, test_f1: 0.7393
loss: 0.4104, acc: 0.8342, test_acc: 0.7867, test_f1: 0.7398
loss: 0.3426, acc: 0.8336, test_acc: 0.7915, test_f1: 0.7472
loss: 0.2381, acc: 0.8347, test_acc: 0.7962, test_f1: 0.7507
loss: 0.4036, acc: 0.8309, test_acc: 0.7820, test_f1: 0.7304
loss: 0.2492, acc: 0.8320, test_acc: 0.7820, test_f1: 0.7323
loss: 0.1725, acc: 0.8331, test_acc: 0.7899, test_f1: 0.7464
loss: 0.2858, acc: 0.8356, test_acc: 0.7852, test_f1: 0.7356
loss: 0.2045, acc: 0.8372, test_acc: 0.7820, test_f1: 0.7298
loss: 0.3950, acc: 0.8366, test_acc: 0.7867, test_f1: 0.7364
loss: 0.4548, acc: 0.8347, test_acc: 0.7836, test_f1: 0.7312
loss: 0.4018, acc: 0.8356, test_acc: 0.7962, test_f1: 0.7535
loss: 0.2625, acc: 0.8358, test_acc: 0.7962, test_f1: 0.7555
loss: 0.2545, acc: 0.8372, test_acc: 0.7978, test_f1: 0.7539
loss: 0.3126, acc: 0.8380, test_acc: 0.8025, test_f1: 0.7611
loss: 0.3370, acc: 0.8394, test_acc: 0.7915, test_f1: 0.7469
loss: 0.4144, acc: 0.8382, test_acc: 0.7930, test_f1: 0.7477
loss: 0.4113, acc: 0.8383, test_acc: 0.7915, test_f1: 0.7465
loss: 0.3321, acc: 0.8396, test_acc: 0.7946, test_f1: 0.7499
loss: 0.4481, acc: 0.8397, test_acc: 0.7915, test_f1: 0.7438
loss: 0.3061, acc: 0.8398, test_acc: 0.7867, test_f1: 0.7364
loss: 0.3286, acc: 0.8393, test_acc: 0.7930, test_f1: 0.7450
loss: 0.5069, acc: 0.8394, test_acc: 0.7804, test_f1: 0.7253
loss: 0.2985, acc: 0.8400, test_acc: 0.7852, test_f1: 0.7337
loss: 0.2739, acc: 0.8406, test_acc: 0.7915, test_f1: 0.7423
loss: 0.4178, acc: 0.8401, test_acc: 0.8009, test_f1: 0.7573
loss: 0.3750, acc: 0.8407, test_acc: 0.7994, test_f1: 0.7558
loss: 0.3085, acc: 0.8412, test_acc: 0.7962, test_f1: 0.7497
loss: 0.3345, acc: 0.8413, test_acc: 0.7820, test_f1: 0.7272
loss: 0.3753, acc: 0.8428, test_acc: 0.7852, test_f1: 0.7325
loss: 0.3348, acc: 0.8428, test_acc: 0.7757, test_f1: 0.7149
loss: 0.3697, acc: 0.8419, test_acc: 0.7820, test_f1: 0.7275
loss: 0.3306, acc: 0.8396, test_acc: 0.7946, test_f1: 0.7463
loss: 0.3918, acc: 0.8401, test_acc: 0.7994, test_f1: 0.7569
loss: 0.3207, acc: 0.8406, test_acc: 0.7978, test_f1: 0.7564
loss: 0.3303, acc: 0.8402, test_acc: 0.7994, test_f1: 0.7577
loss: 0.2390, acc: 0.8407, test_acc: 0.8041, test_f1: 0.7600
loss: 0.3541, acc: 0.8403, test_acc: 0.7820, test_f1: 0.7270
loss: 0.3016, acc: 0.8399, test_acc: 0.7883, test_f1: 0.7376
loss: 0.3397, acc: 0.8395, test_acc: 0.7946, test_f1: 0.7466
loss: 0.4043, acc: 0.8396, test_acc: 0.7883, test_f1: 0.7383
loss: 0.2840, acc: 0.8400, test_acc: 0.7788, test_f1: 0.7180
loss: 0.3246, acc: 0.8401, test_acc: 0.7757, test_f1: 0.7120
loss: 0.3780, acc: 0.8401, test_acc: 0.7788, test_f1: 0.7167
loss: 0.2761, acc: 0.8410, test_acc: 0.7930, test_f1: 0.7460
loss: 0.2920, acc: 0.8414, test_acc: 0.8041, test_f1: 0.7627
loss: 0.4838, acc: 0.8399, test_acc: 0.8041, test_f1: 0.7634
loss: 0.3921, acc: 0.8396, test_acc: 0.8041, test_f1: 0.7622
loss: 0.4548, acc: 0.8392, test_acc: 0.8009, test_f1: 0.7572
loss: 0.2934, acc: 0.8393, test_acc: 0.7915, test_f1: 0.7434
loss: 0.3726, acc: 0.8393, test_acc: 0.7962, test_f1: 0.7503
